Current price,Origninal price,Listing title,Condition
"£1,089.34GBP","£1,089.34GBP",Rare Japan Fender Telecaster Thinline Special TN SPL 1997 Sunburst,Very Good
"£1,400.47GBP","£1,400.47GBP",Valley Arts Brent Mason Signature,Very Good
£292.07GBP,£292.07GBP,Steinberger Gt Pro Deluxe Black With Gig Bag,Mint
"£9,867.19GBP","£9,867.19GBP","1957 Fender Telecaster ""Natural""",Very Good
"£3,552.19GBP","£3,552.19GBP",Gibson Les Paul Deluxe 1973 Cherry Sunburst with Beauty Rings One Owner,Very Good
£117.62GBP,£117.62GBP,Fender Squier Strat Sunburst,Very Good
"£2,998.84GBP","£2,998.84GBP",Vintage 1976 Gibson Les Paul Custom Wine Red Clean w/ Original Case,Excellent
"£1,512.33GBP","£1,512.33GBP",Fender 60th Anniversary American Standard Stratocaster Aztec Gold,Excellent
"£2,364.18GBP","£2,364.18GBP",Clean! 2008 Gibson Slash Signature Les Paul Electric Guitar Tobacco Burst Flame Top + OHSC,Excellent
"£1,102.64GBP","£1,102.64GBP",Fender American Standard Upgrades 1989 Sunburst,Very Good
"£3,548.24GBP","£3,548.24GBP",Vintage! 1978 Gibson Les Paul Custom Cherry Sunburst ALL Original! + OHSC,Very Good
"£1,025.40GBP","£1,025.40GBP",Pre-Owned 2001 Gibson Les Paul Special Black P-100 Pickups w/ Original Case,Very Good
£513.09GBP,£513.09GBP,Paul Reed Smith SE Custom 24 2017 - 2019,Excellent
"£1,202.54GBP","£1,202.54GBP",Gibson Les Paul Studio Wine Red 1991,Excellent
£394.69GBP,£394.69GBP,Fender Mustang 2016 Olive Green,Excellent
£314.96GBP,£314.96GBP,Vintage 1960's Kay Vanguard K-100 Clean w/ Original Case,Excellent
£450GBP,£450GBP,Fender Player Telecaster 2020,Very Good
"£1,697.16GBP","£1,697.16GBP",Claas guitars Moby Dick 7 custom 2014 Clear satin,Good
"£1,263GBP","£1,263GBP",Fender American Vintage '70s Stratocaster with Maple Fretboard 2006 - 2012 Natural,Mint
£793.60GBP,£793.60GBP,Fender Artist Series Jim Root Signature Stratocaster,Good
£828.05GBP,£828.05GBP,Used Harmony Silhouette Electric Guitar - Pearl White,Mint
£440GBP,£440GBP,Fender Modern player tele plus,Excellent
£472.84GBP,£472.84GBP,Vintage 1960's Silvertone Model 1448 Amp in Case Guitar,Very Good
"£3,267.76GBP","£3,267.76GBP",Gibson Les Paul Custom Plus 1990 Heritage Cherry Sunburst,Very Good
£627.55GBP,£627.55GBP,Vintage 1970's Ampeg Heavy Stud Telecaster Copy Natural w/ Original Case,Very Good
"£2,367.34GBP","£2,367.34GBP",2017 Paul Reed Smith PRS McCarty Flame Top with Abalone Birds ~ Faded Whale Blue,Excellent
£513.09GBP,£513.09GBP,Schecter Synyster Gates Custom-S Black with Gold Pinstripes,Very Good
£489GBP,£489GBP,Fender Player Stratocaster - MN - Black - Ex Demo,Very Good
£140GBP,£140GBP,Satellite Les Paul 1970's Natural,Good
£469.68GBP,£469.68GBP,Pre-Owned Circa 2001 Danelectro DC-3 Three Pickup Solid Body Electric,Excellent
"£1,263GBP","£1,263GBP",Fender Eric Clapton Artist Series Stratocaster with Vintage Noiseless Pickups 2001 - 2018 Black,Very Good
£157.88GBP,£157.88GBP,Jackson JS Series JS22 SC Monarkh with Rosewood Fretboard,Excellent
"£1,773.93GBP","£1,773.93GBP",Suhr Classic T 2002 Trans T Straw,Excellent
£220.24GBP,£220.24GBP,Squier Classic Vibe '50s Stratocaster Black Used As-Is,Poor
"£2,796.27GBP","£2,796.27GBP",Gibson Les Paul Standard 1993 Wine Red,Mint
£138.14GBP,£138.14GBP,Epiphone Lp100 Bolt On Neck Les Paul Sunburst,Good
£369.02GBP,£434.15,USED Epiphone Les Paul Standard (443),Good
"£1,140.64GBP","£1,341.93",USED Fender American Original 60s Stratocaster (517),Very Good
"£2,127.37GBP","£2,127.37GBP",MINTY & RARE! Gibson 50th Anniversary SG 12-String Electric Guitar Heritage Cherry + OHSC & Papers,Excellent
£425.47GBP,£425.47GBP,Yamaha RGX-611J,Very Good
£389.15GBP,£457.83,USED Epiphone Les Paul Custom Black Beauty (064),Good
"£2,364.18GBP","£2,364.18GBP",BC Rich Mockingbird USA 2000s Transparent Blue,Very Good
£700.23GBP,£700.23GBP,Fender American Special Stratocaster HSS with Rosewood Fretboard 2010 - 2018 3-Color Sunburst,Very Good
£630.71GBP,£630.71GBP,Used Fender Vintera '50s Stratocaster Modified Maple - 2 Color Sunburst,Mint
£946.46GBP,£946.46GBP,Zemaitis C24MF NT Casimere Metal Front Electric Guitar w/ Gigbag – Natural,Mint
"£2,007.34GBP","£2,007.34GBP","ESP E-II Eclipse 2016 Gold Top Heavy Relic by "" Relic'Art's Guitares""",Excellent
£177.61GBP,£177.61GBP,Heavy Relic Partscaster,Good
"£1,069.96GBP","£1,069.96GBP",Ibanez AT10P Andy Timmons Signature With VSVG Tremolo,Mint
"£1,776.09GBP","£1,776.09GBP",Gibson Les Paul DC Standard 1998,Excellent
£118.41GBP,£118.41GBP,Teisco E402 1960 Sunburst 6 string guitar,Fair
£177.39GBP,£177.39GBP,RiraRira 2005,Excellent
£700.23GBP,£700.23GBP,Sterling JP70-TPB John Petrucci Signature 7-String Trans Purple Burst,Mint
£300GBP,£300GBP,BC Rich Mockingbird Bronze Series 2004 Black,Very Good
"£2,525.21GBP","£2,525.21GBP",Vintage 1988 Gibson Les Paul Standard Sunburst w/ Original Case,Excellent
"£1,695GBP","£1,695GBP","Gibson Les Paul Junior Special DC Custom, Cherry, 2006, The Damned, Rat Scabies, Punk",Excellent
£548.62GBP,£548.62GBP,Vintage 1960'a Harmony Holiday Stratotone Electric w/ original DeArmond Pickup,Very Good
£788.59GBP,£788.59GBP,Zemaitis C24SU Superior Casimere Electric Guitar w/ Gigbag - Black Pearl Heart,Mint
£788.59GBP,£788.59GBP,Zemaitis C24SU Superior Casimere Electric Guitar w/ Gigbag - Black Pearl Diamond,Mint
£210GBP,£210GBP,Kramer Vanguard 2010 Ebony,Excellent
£225GBP,£225GBP,Ibanez ART300 Caiman,Good
"£1,361.10GBP","£1,361.10GBP",Gibson Les Paul 2014 Root Beer Burst,Good
"£2,231.41GBP","£2,231.41GBP","Gibson Les Paul Standard '50s P-90 ""AGED"" 2020 ... awesome looking instrument",Excellent
£315.75GBP,£315.75GBP,PRS 22 fret 2013 Blue stain,Good
"£18,944.21GBP","£18,944.21GBP",2019 EVH ‘79 Bumblebee Signed Tribute Relic Only 50 Made,Mint
"£1,259.05GBP","£1,259.05GBP",Fender Limited Edition 1969 Reissue Telecaster MIJ Pink Paisley w/ Maple Fretboard,Mint
£130.25GBP,£130.25GBP,Ibanez RG350 Maple Neck w/Black Locking Nut,Mint
£393.21GBP,£393.21GBP,Memphis M-151D 1979,Good
"£1,022.24GBP","£1,022.24GBP",Awesome Fender Jazzmaster Electric Guitar JM-66 Reissue 2017 Offset Body MIJ w/ trem arm,Excellent
£457.49GBP,£457.49GBP,Ibanez Roadstar II 1983 Sunburst,Very Good
"£2,699.99GBP","£2,699.99GBP","GIBSON USA SG Supra LTD 1/300 ""Antique Natural + Richlite"" (2013)",Excellent
"£15,871.04GBP","£15,871.04GBP",PRS Pauls 85 LTD 2020 Electric Tiger Glow,Mint
£200GBP,£200GBP,Yamaha PAC112JL-NAT Pacifica Series HSS with Rosewood Fretboard 2019 Natural,Mint
£700.23GBP,£700.23GBP,Sterling JP70-TPB John Petrucci Signature 7-String Trans Purple Burst,Mint
"£1,212.81GBP","£1,212.81GBP","2014 Fender American Deluxe ""Shawbucker"" Stratocaster | Olympic Pearl White | USA | Tweed Case",Excellent
"£6,059.36GBP","£6,059.36GBP",Fender Stratocaster 1963 Michael Landau Jason Smith Masterbuilt 2020 Fiesta Red over Sunburst,Mint
£378.11GBP,£378.11GBP,Rainbow Model Custome,Very Good
"£2,099.99GBP","£2,099.99GBP","GIBSON USA Les Paul Standard Smartwood LTD ""Natural + Chechen"" (1997)",Excellent
£326.78GBP,£326.78GBP,Ibanez RG 470 470L left hand lefty lefthand handed guitar,Good
"£6,161.13GBP","£6,161.13GBP",Original 1964 Fender Jaguar In Candy Apple Red Finish,Excellent
£299.99GBP,£299.99GBP,Epiphone Les Paul Standard Left Handed Electric Guitar,Good
"£1,499.81GBP","£1,499.81GBP",Gibson '61 SG / Les Paul Reissue with Deluxe Vibrola 2018 Heritage Cherry,Excellent
£420.14GBP,£420.14GBP,Fender Stratocaster Malmsteen Vibe,Mint
£402.57GBP,£473.62,USED Dean RC7X Rusty Cooley (749),Good
£130.25GBP,£130.25GBP,Ibanez JEM Jr. Chrome Tremolo w/arm + Extras,Mint
£631.49GBP,£631.49GBP,"1990s Burny H-65 Vertigo Elite Electric Guitar Candy Apple Red, Japan Fernandes",Excellent
None,None,None,None
"£1,263GBP","£1,263GBP",Gibson Flying V Crescent Moon 2002 Red-brown,Excellent
"£2,368.12GBP","£2,368.12GBP","1980s Kramer Nightswan Vintage Electric Guitar Metallic Pink, Vivian Campbell, ESP",Excellent
"£2,894.30GBP","£2,894.30GBP",Fender Stratocaster Lefty 1978/81 Natural,Excellent
"£2,698.24GBP","£2,698.24GBP",Fender Stratocaster 1957 Custom Shop Lefty Fiesta Red Gold HW Birdseye Neck 1993 LH Lefthand,Excellent
"£2,885GBP","£2,885GBP",2011 Fender Custom Shop Relic ‘63 Stratocaster - Daphne Blue w/ Abby Pickups,Mint
"£2,698.24GBP","£2,698.24GBP",Suhr Classic S Antique 3 Tone Sunburst Aged Strat Sunburst,Excellent
£592.02GBP,£592.02GBP,1979 Greco Early Sixties Vintage S-Style Electric Guitar Black 100% Original Japan MIJ Fujigen,Excellent
"£1,685GBP","£1,685GBP",Fender American Vintage Reissue '59 Stratocaster 2013 - 2016 Faded Sonic Blue,Excellent
"£2,249.72GBP","£2,249.72GBP",Warrior Signature Signature 6 String! 2014 Black,Excellent
£932.71GBP,£932.71GBP,Ibanez PF100 1978 Walnut,Very Good
"£1,268.63GBP","£1,268.63GBP",Fender Deluxe Plus Stratocaster 1999 Teal Ash Transparent,Excellent
£276.28GBP,£276.28GBP,LTD Viper 400M Natural Satin,Good
"£1,167.06GBP","£1,167.06GBP",Ormsby Hype GTR 8 Multiscale Chernobyl Green,Mint
"£2,328.66GBP","£2,328.66GBP","1992 PRS Custom 24, beautiful finish, super clean all original guitar!",Excellent
"£6,983.67GBP","£6,983.67GBP",Fender Telecaster Maple 1968 Sunburst,Good
£552.55GBP,£552.55GBP,1982 Tokai Silver Star S-Style Vintage Electric Guitar Candy Apple Red Japan,Excellent
£839.35GBP,£839.35GBP,Gibson Les Paul Junior 2016 Vintage Sunburst Satin Finish,Very Good
£789.37GBP,£789.37GBP,"2015 Fujigen FGN Neo Classic NCST-M10R/AL/SSH S-Style Electric Guitar White Japan, 24 3/4"" Scale",Excellent
£643.28GBP,£643.28GBP,Ibanez RG920QMZ Premium 2012 Black Ice Electric Guitar - Pro Set Up New Strings - Case - Excellent+,Excellent
£947.25GBP,£947.25GBP,Dean Razorback 7 String - Custom Paint,Excellent
£463.36GBP,£463.36GBP,Schecter Tempest Custom 2010s Black Cherry Flame,Excellent
£745.05GBP,£745.05GBP,"Hagstrom Ultra Max-82 LTD Vinterny White Metallic Top, Black Gloss Rückseite",Mint
£119.04GBP,£140.05,Red Rock Power Lake S SG Electric Guitar,Excellent
"£1,400.47GBP","£1,400.47GBP",Strandberg Boden Standard 6 2020 black,Mint
£749.90GBP,£749.90GBP,"1985 BC Rich Warlock NJ Series Vintage Electric Guitar White Pearl w/ Floyd Rose, Japan",Excellent
"£1,385GBP","£1,385GBP",Fender American Standard Stratocaster HSS Shawbucker with Rosewood Fretboard 2014 Bordeaux Metallic,Excellent
"£1,365GBP","£1,365GBP",Fender American Original '70s Telecaster Custom 2020 Mocha,Mint
"£1,026.08GBP","£1,026.08GBP",Epiphone Scroll SC-450 76/79 Walnut,Good
£415GBP,£415GBP,Fender Standard Stratocaster 2000 Free UK shipping!,Very Good
"£1,595GBP","£1,595GBP",♚ SUPERB ♚ 2018 FENDER American 60's Original JAZZMASTER USA ♚ 62 ♚ AVRI ♚ Ultra ♚ AMAZING!,Excellent
£592.03GBP,£592.03GBP,Tokai Custom Edition Flamed Dinky MIJ 1980s Trans Blue,Excellent
"£1,465.82GBP","£1,465.82GBP",Fender Eric Johnson Stratocaster with Maple Fretboard 2005 - 2013 Candy Apple Red,Excellent
£816.94GBP,£816.94GBP,Gibson Les Paul Lefty! 2017 Union Jack,Good
£490GBP,£490GBP,"Schecter Aviation Collection ""Midway Navy"" 2006",Good
£139.11GBP,£139.11GBP,Epiphone Les Paul Special II Sunburst,Very Good
£840.28GBP,£840.28GBP,Fender Vintera '50s Telecaster Modified with Maple Fretboard 2019 Daphne Blue,Mint
"£2,415.34GBP","£2,415.34GBP",JP15 Ernie Ball Music Man BFR Ball Family Reserve John Petrucci Signature JP-15 Sahara Burst Quilt,Excellent
"£2,700GBP","£2,700GBP",Fender Custom Shop 63 Tele Custom Relic 2017 Sonic Blue,Excellent
"£1,212.81GBP","£1,212.81GBP",Epiphone 450 Scroll 70s Natural,Very Good
£386.79GBP,£386.79GBP,Aria Pro ll Les Paul Standard 1977 Jacaranda,Very Good
"£5,125.72GBP","£5,125.72GBP",Fender Stratocaster John Mayer Black1 Limited Edition 1 Of 500 Piano Glossy Black! 1 Owner & Mint!,Mint
£315.74GBP,£315.74GBP,2018 Jackson SL4X Soloist X Series Electric Guitar Bubblegum Pink,Mint
"£2,885GBP","£2,885GBP",Fender Custom Shop Postmodern Stratocaster Journeyman Relic 2016,Excellent
£500GBP,£500GBP,"Epiphone Zakk Wylde Les Paul Custom ""Bullseye"" + Gator hard-case",Very Good
£300GBP,£300GBP,Line 6 Variax 500 Modelling Electric Guitar - Great Christmas Present,Good
£840.28GBP,£840.28GBP,Fender Limited Edition Baja Telecaster Shell Pink 2018,Mint
"£2,364.18GBP","£2,364.18GBP",Fender Telecaster 1977 a beautiful all original example in a Black finish w/a killer Maple Neck !,Excellent
"£3,330.37GBP","£3,330.37GBP",2019 Fender Custom Shop Vintage Custom 1959 Stratocaster,Mint
